"","Drzava","Stevilo smrti","Prebivalstvo","Stevilo smrti na 1000 prebivalcev","Indeks COVID"
"143","Nigeria",1163,206139587,0.01,0.99
"144","Niue",0,1784,0,1
"145","North Macedonia",1281,2076255,0.62,0.5
"146","Northern Mariana Islands",2,56200,0.04,0.97
"147","Norway",294,5384576,0.05,0.96
"148","Palestine",633,5101152,0.12,0.9
"149","Oman",1326,4445262,0.3,0.76
"150","Pakistan",7109,220892331,0.03,0.98
"151","Palau",0,17900,0,1
"152","Panama",2856,4278500,0.67,0.46
"153","Papua New Guinea",7,8935000,0,1
"154","Paraguay",1556,7252672,0.21,0.83
"155","Peru",35106,32625948,1.08,0.14
"156","Philippines",7791,109524677,0.07,0.94
"157","Pitcairn Islands",0,50,0,1
"158","Poland",10045,38351000,0.26,0.79
"159","Portugal",3305,10295909,0.32,0.74
"160","Puerto Rico",921,3193694,0.29,0.77
"161","Qatar",234,2717360,0.09,0.93
"162","South Korea",493,51834302,0.01,0.99
"163","Moldova",2006,2640438,0.76,0.39
"164","Romania",8813,19317984,0.46,0.63
"165","Russian Federation",33186,146748590,0.23,0.82
"166","Rwanda",42,12663116,0,1
"167","Saint Barthélemy",0,9961,0,1
"168","Saint Kitts and Nevis",0,52823,0,1
"169","Saint Lucia",2,178696,0.01,0.99
"170","Saint Martin",12,35334,0.34,0.73
"171","Saint Pierre and Miquelon",0,5997,0,1
"172","Saint Vincent and the Grenadines",0,110696,0,1
"173","Samoa",0,202506,0,1
"174","San Marino",42,33640,1.25,0
"175","Saudi Arabia",5641,34218169,0.16,0.87
"176","Senegal",327,16705608,0.02,0.98
"177","Serbia",989,6926705,0.14,0.89
"178","Seychelles",0,98462,0,1
"179","Sierra Leone",74,8100318,0.01,0.99
"180","Singapore",28,5685807,0,1
"181","Sint Maarten",23,40614,0.57,0.54
"182","Slovakia",510,5460136,0.09,0.93
"183","Slovenia",500,2100126,0.24,0.81
"184","Solomon Islands",0,721455,0,1
"185","Somalia",107,15893219,0.01,0.99
"186","South Africa",20206,59622350,0.34,0.73
"187","South Sudan",59,13249924,0,1
"188","Spain",40769,47329981,0.86,0.31
"189","Sri Lanka",53,21803000,0,1
"190","Sudan",1116,43046620,0.03,0.98
"191","Suriname",114,590100,0.19,0.85
"192","Sweden",6164,10373225,0.59,0.53
"193","Switzerland",2956,8632703,0.34,0.73
"194","Syrian Arab Republic",341,17500657,0.02,0.98
"195","Tajikistan",85,9313800,0.01,0.99
"196","Thailand",60,66584705,0,1
"197","United Kingdom",51766,66796807,0.77,0.38
"198","Togo",60,7706000,0.01,0.99
"199","Tokelau",0,1499,0,1
"200","Tonga",0,100651,0,1
"201","Trinidad and Tobago",111,1366725,0.08,0.94
"202","Tunisia",2279,11708370,0.19,0.85
"203","Turkey",11418,83154997,0.14,0.89
"204","Turkmenistan",0,6031187,0,1
"205","Turks and Caicos Islands",6,42953,0.14,0.89
"206","Tuvalu",0,10507,0,1
"207","Uganda",144,41583600,0,1
"208","Ukraine",9603,41703327,0.23,0.82
"209","United Arab Emirates",528,9366829,0.06,0.95
"210","Tanzania",21,57637628,0,1
"211","United States",242542,330770244,0.73,0.42
"212","Uruguay",64,3530912,0.02,0.98
"213","Uzbekistan",598,34564796,0.02,0.98
"214","Vanuatu",0,304500,0,1
"215","Venezuela",844,28435943,0.03,0.98
"216","Viet Nam",35,96483981,0,1
"217","Wallis and Futuna",0,11558,0,1
"218","Yemen",603,29825968,0.02,0.98
"219","Zambia",350,17885422,0.02,0.98
"220","Zimbabwe",257,15473818,0.02,0.98
