"","Drzava","Stevilo primerov","Prebivalstvo","Stevilo primerov na 1000 prebivalcev","Indeks COVID"
"134","Trinidad and Tobago",7132,1366725,5.22,0.95
"135","Mali",7090,20250833,0.35,1
"136","Thailand",6884,66595167,0.1,1
"137","Burkina Faso",6707,20487979,0.33,1
"138","Malawi",6583,18449828,0.36,1
"139","Guyana",6319,744962,8.48,0.92
"140","Congo",6200,5518092,1.12,0.99
"141","Suriname",6181,590100,10.47,0.9
"142","Djibouti",5831,976107,5.97,0.94
"143","Iceland",5754,368010,15.64,0.85
"144","Aruba",5442,111904,48.63,0.53
"145","Equatorial Guinea",5277,1454789,3.63,0.97
"146","Central African Republic",4963,5633412,0.88,0.99
"147","Nicaragua",4829,6527691,0.74,0.99
"148","Somalia",4714,15893219,0.3,1
"149","Curaçao",4230,156223,27.08,0.74
"150","Gambia",3800,2335504,1.63,0.98
"151","Togo",3633,7706000,0.47,1
"152","South Sudan",3558,13249924,0.27,1
"153","Benin",3251,12114193,0.27,1
"154","Niger",3208,23196002,0.14,1
"155","Jersey",2726,107800,25.29,0.76
"156","Lesotho",2577,2007201,1.28,0.99
"157","Sierra Leone",2560,8100318,0.32,1
"158","Guinea-Bissau",2447,1624945,1.51,0.99
"159","San Marino",2333,33652,69.33,0.33
"160","Liechtenstein",2221,38896,57.1,0.45
"161","Chad",2113,16244513,0.13,1
"162","Yemen",2103,29825968,0.07,1
"163","Gibraltar",1973,34003,58.02,0.44
"164","New Zealand",1806,5109033,0.35,1
"165","Liberia",1800,4568298,0.39,1
"166","Viet Nam",1465,96483981,0.02,1
"167","Sint Maarten",1434,40614,35.31,0.66
"168","Eritrea",1320,3546000,0.37,1
"169","Mongolia",1215,3355663,0.36,1
"170","Saint Martin",995,34065,29.21,0.72
"171","Monaco",875,38100,22.97,0.78
"172","Turks and Caicos Islands",874,42953,20.35,0.8
"173","Burundi",822,12309600,0.07,1
"174","Papua New Guinea",780,8935000,0.09,1
"175","Comoros",765,758316,1.01,0.99
"176","Bhutan",670,748931,0.89,0.99
"177","Faroe Islands",610,52854,11.54,0.89
"178","Bermuda",604,64054,9.43,0.91
"179","Mauritius",527,1266000,0.42,1
"180","Tanzania",509,57637628,0.01,1
"181","Cambodia",378,15288489,0.02,1
"182","Isle of Man",377,83314,4.53,0.96
"183","Barbados",372,287025,1.3,0.99
"184","Saint Lucia",353,178696,1.98,0.98
"185","Cayman Islands",330,64958,5.08,0.95
"186","Guernsey",298,63021,4.73,0.95
"187","Seychelles",267,98462,2.71,0.97
"188","Saint Barthélemy",190,10124,18.77,0.82
"189","Antigua and Barbuda",159,97895,1.62,0.98
"190","Brunei Darussalam",152,459500,0.33,1
"191","Grenada",134,112519,1.19,0.99
"192","Northern Mariana Islands",122,56200,2.17,0.98
"193","Saint Vincent and the Grenadines",119,110696,1.08,0.99
"194","Dominica",96,71808,1.34,0.99
"195","British Virgin Islands",93,30030,3.1,0.97
"196","Fiji",49,889327,0.06,1
"197","New Caledonia",38,271407,0.14,1
"198","Saint Kitts and Nevis",32,52823,0.61,0.99
"199","Falkland Islands",29,3198,9.07,0.91
"200","Greenland",27,56379,0.48,1
"201","Solomon Islands",17,721455,0.02,1
"202","Saint Pierre and Miquelon",16,5985,2.67,0.97
"203","Anguilla",13,14869,0.87,0.99
"204","Montserrat",13,4989,2.61,0.97
"205","Marshall Islands",4,55500,0.07,1
"206","Wallis and Futuna",4,11558,0.35,1
"207","Vanuatu",1,304500,0,1
"208","American Samoa",0,56700,0,1
"209","Cook Islands",0,15200,0,1
"210","Kiribati",0,120100,0,1
"211","Micronesia",0,104650,0,1
"212","Nauru",0,11000,0,1
"213","Niue",0,1784,0,1
"214","Palau",0,17900,0,1
"215","Pitcairn Islands",0,50,0,1
"216","Samoa",0,202506,0,1
"217","Tokelau",0,1499,0,1
"218","Tonga",0,100651,0,1
"219","Turkmenistan",0,6031187,0,1
"220","Tuvalu",0,10507,0,1
